event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2020-10-28,2020-10-28,nasdaq,Nasdaq,nasdaq,5,-0.0941,negative,1031335,Twitter,Media and Big Tech are not covering Biden Corruption!,11004.8701,President — 1st Term (2017–2021),In Office,1.6422,101642.18,5.3241,105324.1,10.9132,110913.16
2020-11-02,2020-11-02,nasdaq,Nasdaq,nasdaq,1,0.8516,positive,73006,Twitter,"Joe Biden is bought and paid for by Big Tech, Big Media, Big Donors, and powerful special interests. They are desperate for him to win because they own him, they control him, and they know he will always do their bidding! https://t.co/gsFSghkmdM https://t.co/7zJvOFACWz",10957.6104,President — 1st Term (2017–2021),In Office,1.8522,101852.23,6.9009,106900.86,12.7013,112701.31
2020-11-27,2020-11-27,nasdaq,Nasdaq,nasdaq,1,-0.1007,negative,195518,Twitter,"Big Tech and the Fake News Media have partnered to Suppress. Freedom of the Press is gone, a thing of the past. That's why they refuse to report the real facts and figures of the 2020 Election or even, where's Hunter! https://t.co/8lRglItLJt",12205.8496,President — 1st Term (2017–2021),In Office,-0.0582,99941.75,2.1169,102116.86,5.6823,105682.28
2020-12-02,2020-12-02,nasdaq,Nasdaq,nasdaq,1,0.5553,positive,304329,Twitter,"Section 230, which is a liability shielding gift from the U.S. to ""Big Tech"" (the only companies in America that have it - corporate welfare!), is a serious threat to our National Security & Election Integrity. Our Country can never be safe & secure if we allow it to stand.....",12349.3701,President — 1st Term (2017–2021),In Office,0.2252,100225.19,-0.0844,99915.62,2.8267,102826.7
2020-12-03,2020-12-03,nasdaq,Nasdaq,nasdaq,1,0.8974,positive,246764,Twitter,"Looks like certain Republican Senators are getting cold feet with respect to the termination of Big Tech's Section 230, a National Security and Election Integrity MUST. For years, all talk, no action. Termination must be put in Defense Bill!!!",12377.1797,President — 1st Term (2017–2021),In Office,0.7033,100703.32,0.2313,100231.31,2.5957,102595.67
2020-12-04,2020-12-04,nasdaq,Nasdaq,nasdaq,2,0.0064,neutral,142582,Twitter,"But doesn't get rid of Big Tech's windfall, Section 230, a grave threat to National Security. I will VETO! https://t.co/QI7BfNc7hb",12464.2305,President — 1st Term (2017–2021),In Office,0.447,100447.04,-0.6929,99307.13,1.8791,101879.13
2020-12-08,2020-12-08,nasdaq,Nasdaq,nasdaq,1,0.636,positive,185811,Twitter,NASDAQ and S&P close at all-time highs. Congratulations!,12582.7695,President — 1st Term (2017–2021),In Office,-1.9377,98062.28,0.0977,100097.67,3.8522,103852.18
2020-12-19,2020-12-21,nasdaq,Nasdaq,nasdaq,1,-0.8268,negative,66313,Twitter,"The entire WORLD is being badly hurt by the China Virus, but if you listen to the Fake News Lamestream Media, and Big Tech, you would think that we are the only one. No, but we are the Country that developed vaccines, and years ahead of schedule! https://t.co/z1UoJ8lbTm",12742.5195,President — 1st Term (2017–2021),In Office,0.0,100000.0,1.2313,101231.31,3.5681,103568.06
2020-12-26,2020-12-28,nasdaq,Nasdaq,nasdaq,3,-0.2902,negative,361301,Twitter,"....Courts are bad, the FBI and ""Justice"" didn't do their job, and the United States Election System looks like that of a third world country. Freedom of the press has been gone for a long time, it is Fake News, and now we have Big Tech (with Section 230) to deal with....",12899.4199,President — 1st Term (2017–2021),In Office,0.0,100000.0,-1.558,98442.03,5.7101,105710.1
2020-12-29,2020-12-29,nasdaq,Nasdaq,nasdaq,2,-0.1393,negative,245164,Twitter,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don't let Big Tech steal our Country, and don't let the Democrats steal the Presidential Election. Get tough! https://t.co/GMotstu",12850.2197,President — 1st Term (2017–2021),In Office,0.1539,100153.93,-0.2433,99756.74,3.7894,103789.36
2020-12-30,2020-12-30,nasdaq,Nasdaq,nasdaq,1,-0.4523,negative,199584,Twitter,"Twitter is shadow banning like never before. A disgrace that our weak and ineffective political leadership refuses to do anything about Big Tech. They're either afraid or stupid, nobody really knows!",12870.0,President — 1st Term (2017–2021),In Office,0.142,100142.04,-1.004,98996.04,1.5594,101559.37
2021-01-01,2021-01-04,nasdaq,Nasdaq,nasdaq,1,-0.8899,negative,170292,Twitter,"Our Republican Senate just missed the opportunity to get rid of Section 230, which gives unlimited power to Big Tech companies. Pathetic!!! Now they want to give people ravaged by the China Virus $600, rather than the $2000 which they so desperately need. Not fair, or smart!",12698.4502,President — 1st Term (2017–2021),In Office,0.0,100000.0,3.9653,103965.29,5.5514,105551.38
2022-06-01,2022-06-01,nasdaq,Nasdaq,nasdaq,1,0.7845,positive,53344,Truth Social,"Kash Patel wrote the bestselling children’s book in the country, The Plot Against the King, which I recommended two weeks ago via Truth Social, telling our youth the Russiagate story. Google just banned his book's entire ad campaign. Let’s put this amazing book in every school in America. Big tech s",11994.46,Not President (2021–2024),Not In Office,2.6882,102688.24,0.7654,100765.43,-7.2251,92774.91
2022-09-22,2022-09-22,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,17518,Truth Social,“Trump Proven Correct Again as Federal Judge Rules Big Tech Does NOT Have ‘Freewheeling Right To Censor’ People” https:// dcenquirer.com/court-rules-big -tech-does-not-have-freewheeling-right-to-censor-people/,11066.8096,Not President (2021–2024),Not In Office,-1.7971,98202.92,-2.9756,97024.44,-1.0319,98968.09
2022-11-02,2022-11-02,nasdaq,Nasdaq,nasdaq,1,0.966,positive,12166,Truth Social,"Eric Burlison will be an outstanding Representative for the people of Missouri’s 7th Congressional District! \nEric was a very effective, conservative State Senator and, in Congress, he will Fight Inflation, Support our Military and Vets, Hold Big Tech Accountable, Restore American Energy Independen",10524.7998,Not President (2021–2024),Not In Office,-1.7279,98272.09,-1.6307,98369.28,8.8999,108899.93
2022-11-24,2022-11-25,nasdaq,Nasdaq,nasdaq,1,-0.3254,negative,17739,Truth Social,"“2022 has been one of the roughest years in HISTORY, maybe the roughest when you start to talk about stocks and bonds, both being devastated.” Charles Payne, Fox Business. Dow down 7.1%, NASDAQ down 28.9%, S&P down 16%. MISS ME YET?",11226.3604,Not President (2021–2024),Not In Office,0.0,100000.0,2.2811,102281.15,-7.7775,92222.5
2022-12-02,2022-12-02,nasdaq,Nasdaq,nasdaq,1,-0.9801,negative,58536,Truth Social,"So now it is learned that the FBI, and others in conjunction with the “Justice” Department, met with Big Tech companies to bend them into saying bad things about “Trump” and Republicans in order to RIG & STEAL the 2020 Presidential Election, which was a Scam and a Fraud. Now additional evidence, dif",11461.5,Not President (2021–2024),Not In Office,-1.9331,98066.92,-3.9862,96013.79,-9.375,90624.97
2022-12-03,2022-12-05,nasdaq,Nasdaq,nasdaq,4,-0.5997,negative,364221,Truth Social,"So, with the revelation of MASSIVE & WIDESPREAD FRAUD & DECEPTION in working closely with Big Tech Companies, the DNC, & the Democrat Party, do you throw the Presidential Election Results of 2020 OUT and declare the RIGHTFUL WINNER, or do you have a NEW ELECTION? A Massive Fraud of this type and mag",11239.9404,Not President (2021–2024),Not In Office,0.0,100000.0,-0.8559,99144.12,-7.5887,92411.35
2022-12-17,2022-12-19,nasdaq,Nasdaq,nasdaq,1,-0.7845,negative,31144,Truth Social,"“Dare to call it treason? Elon Musk's 'Twitter Files' expose conspiracy between FBI, CIA agents and Big Tech to sway election results” @glennbeck https://www. glennbeck.com/glenn-beck/dare- to-call-it-treason-elon-musks-twitter-files-expose-conspiracy-between-fbi-cia-agents-and-big-tech-to-sway-elec",10546.0303,Not President (2021–2024),Not In Office,0.0,100000.0,-1.8282,98171.83,5.2065,105206.51
2022-12-18,2022-12-19,nasdaq,Nasdaq,nasdaq,1,-0.8947,negative,35736,Truth Social,"The FBI’s Illegal Left Wing DOMINANCE over TWITTER, FACEBOOK, and other Big Tech companies, has been a shock to the World, but remember, this was only one of MANY ways that the 2020 Election was Rigged & Stolen!!!",10546.0303,Not President (2021–2024),Not In Office,0.0,100000.0,-1.8282,98171.83,5.2065,105206.51
